date,opponent,home_runs,exit_velocity,launch_angle,distance,game_link
2023-04-05,Royals,1,N/A,N/A,N/A,/api/v1.1/game/718692/feed/live
2023-04-06,Royals,1,N/A,N/A,N/A,/api/v1.1/game/718686/feed/live
2023-04-18,Astros,1,N/A,N/A,N/A,/api/v1.1/game/718520/feed/live
2023-04-21,Yankees,1,N/A,N/A,N/A,/api/v1.1/game/718487/feed/live
2023-04-23,Yankees,1,N/A,N/A,N/A,/api/v1.1/game/718465/feed/live
2023-05-03,Red Sox,1,N/A,N/A,N/A,/api/v1.1/game/718323/feed/live
2023-05-04,Red Sox,1,N/A,N/A,N/A,/api/v1.1/game/718316/feed/live
2023-05-23,Rays,1,N/A,N/A,N/A,/api/v1.1/game/718061/feed/live
2023-06-04,Mets,1,N/A,N/A,N/A,/api/v1.1/game/717900/feed/live
2023-06-23,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/717646/feed/live
2023-06-24,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/717634/feed/live
2023-06-29,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/717564/feed/live
2023-07-04,White Sox,1,N/A,N/A,N/A,/api/v1.1/game/717496/feed/live
2023-07-14,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/717420/feed/live
2023-07-20,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/717331/feed/live
2023-07-22,Mariners,1,N/A,N/A,N/A,/api/v1.1/game/717301/feed/live
2023-07-23,Mariners,1,N/A,N/A,N/A,/api/v1.1/game/717281/feed/live
2023-08-04,Red Sox,1,N/A,N/A,N/A,/api/v1.1/game/717136/feed/live
2023-08-25,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/716860/feed/live
2023-08-27,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/716825/feed/live
2023-09-03,Rockies,1,N/A,N/A,N/A,/api/v1.1/game/716730/feed/live
2023-09-14,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/716587/feed/live
2023-09-15,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/716576/feed/live
2023-09-16,Blue Jays,1,N/A,N/A,N/A,/api/v1.1/game/716566/feed/live
2023-09-24,Rays,2,N/A,N/A,N/A,/api/v1.1/game/716452/feed/live
